scorer,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500,DLC_resnet50_Ic-posturajul12shuffle1_186500
bodyparts,orelha,orelha,orelha,nariz,nariz,nariz,queixo,queixo,queixo,cervical,cervical,cervical,ombro,ombro,ombro
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
9,347.5216979980469,40.60612487792969,1.0,382.7569885253906,50.06672668457031,1.0,370.46026611328125,74.12203216552734,1.0,326.6385192871094,64.63445281982422,1.0,332.0726318359375,84.65544891357422,1.0
10,347.1494445800781,40.63982391357422,1.0,381.9862365722656,50.0536003112793,1.0,370.48797607421875,73.97109985351562,1.0,326.5682373046875,64.62565612792969,1.0,332.0619201660156,84.53878784179688,1.0
11,346.9642028808594,40.32278823852539,1.0,382.78558349609375,50.130859375,1.0,370.2820739746094,74.0847396850586,1.0,326.7106018066406,64.53975677490234,1.0,332.10394287109375,84.63294982910156,1.0
12,346.9317626953125,40.44166564941406,1.0,382.7732238769531,50.14671325683594,1.0,370.11029052734375,73.95691680908203,1.0,326.7186279296875,64.66338348388672,1.0,331.9743347167969,84.61954498291016,1.0
13,346.7928771972656,40.32008361816406,1.0,382.7459716796875,50.25273895263672,1.0,369.9343566894531,74.18595123291016,1.0,326.6871032714844,64.49114990234375,1.0,331.93243408203125,84.61119079589844,1.0
14,346.7627868652344,40.15533447265625,1.0,382.7906799316406,50.26898956298828,1.0,369.8985900878906,74.3363037109375,1.0,326.66693115234375,64.38402557373047,1.0,332.0371398925781,84.54060363769531,1.0
15,346.8273010253906,40.205081939697266,1.0,382.3048095703125,49.958683013916016,1.0,370.07562255859375,74.0146255493164,1.0,326.8346862792969,64.38060760498047,1.0,332.0364685058594,84.5225601196289,1.0
16,346.8028259277344,40.232852935791016,1.0,382.3540954589844,49.90251541137695,1.0,370.2296447753906,73.8948974609375,1.0,326.84039306640625,64.34264373779297,1.0,332.0622253417969,84.4033203125,1.0
17,346.8073425292969,40.26319122314453,1.0,382.3664245605469,49.8921012878418,1.0,370.2824401855469,73.93978118896484,1.0,326.75872802734375,64.446044921875,1.0,332.00714111328125,84.4674301147461,1.0
18,346.87127685546875,40.41385269165039,1.0,382.40423583984375,49.91827392578125,1.0,370.2316589355469,74.0418701171875,1.0,326.734619140625,64.52899932861328,1.0,331.96514892578125,84.44760131835938,1.0
